niche_breadth,type
19.85302594,rare
18.4691689,rare
20.81268882,rare
21.59561129,rare
11.57815126,rare
23.34722222,rare
15.14414414,rare
23.34722222,rare
12.68679245,rare
15.35159817,rare
5.261345853,rare
20.88198758,rare
17.88297872,rare
15.49308756,rare
22.26490066,rare
20.25301205,rare
22.26490066,rare
16.97979798,rare
8.894179894,rare
25.33204633,rare
22.39249147,rare
5.700260643,rare
14.35667396,rare
27.22406639,rare
10.33228346,rare
25.93280632,rare
19.3539823,rare
18.07438017,rare
19.7027027,rare
18.79942693,rare
16.95348837,rare
17.58241758,rare
22.69503546,rare
22.69503546,rare
11.51079137,rare
15.02347418,rare
23.7037037,rare
20.38216561,rare
17.97752809,rare
10.81081081,rare
19.63190184,rare
12.95546559,rare
20.64516129,rare
22.06896552,rare
18.93491124,rare
18.82352941,rare
12.0754717,rare
7.980049875,rare
17.48179272,rare
21.4467354,rare
18.85498489,rare
13.42150538,rare
14.0247191,rare
18.30205279,rare
27.98654709,rare
15.96163683,rare
11.66542056,rare
21.01346801,rare
19.93929712,rare
20.06752412,rare
14.61592506,rare
15.56359102,rare
16.9,rare
19.0125,rare
8.691428571,rare
18.3253012,rare
18.89440994,rare
21.57446809,rare
12.62240664,rare
11.65517241,rare
15.68041237,rare
19.25316456,rare
4.395953757,rare
22.70149254,rare
18.70347003,rare
20.95053004,rare
24.00404858,rare
17.59347181,rare
9.192248062,rare
17.69850746,rare
16.70140845,rare
16.89173789,rare
25.89082969,rare
19.43934426,rare
22.04089219,rare
13.32359551,rare
16.42382271,rare
22.37358491,rare
20.95053004,rare
14.63950617,rare
22.20599251,rare
9.832504146,rare
20.4822695,rare
26.01801802,rare
16.40909091,rare
27.5047619,rare
17.6097561,rare
17.82716049,rare
18.75324675,rare
22.21538462,rare
23.67213115,rare
18.63225806,rare
16.40909091,rare
18.51282051,rare
20.05555556,rare
15.04166667,rare
7.22,rare
13.95781638,rare
20.16129032,rare
22.41035857,rare
11.09467456,rare
24.1416309,rare
14.46015424,rare
21.88715953,rare
14.38618926,rare
14.16876574,rare
16.9939577,rare
23.00840336,rare
27.10891089,rare
11.55274262,rare
16.79754601,rare
16.79754601,rare
17.89542484,rare
23.4017094,rare
14.96174863,rare
18.18771331,rare
14.6,rare
21.93004115,rare
13.28927681,rare
17.13504823,rare
16.09969789,rare
13.91383812,rare
13.35588972,rare
26.77889447,rare
22.48523207,rare
20.41762452,rare
18.31271478,rare
14.13527851,rare
14.68044077,rare
20.73540856,rare
12.53882353,rare
18.91970803,rare
14.48044693,rare
5.61038961,rare
13.43005181,rare
10.368,rare
10.125,rare
23.14285714,rare
14.01081081,rare
21.24590164,rare
11.46902655,rare
23.35135135,rare
9.969230769,rare
10.32669323,rare
12.40191388,rare
25.58883249,rare
11.03063457,rare
7.232424677,rare
20.24497992,rare
21.82251082,rare
19.92490119,rare
11.430839,rare
19.76862745,rare
19.02264151,rare
16.6369637,rare
16.6369637,rare
12.63408521,rare
18.73977695,rare
14.04178273,rare
15.60681115,rare
21.63519313,rare
14.75903614,rare
26.92307692,rare
24.01960784,rare
26.92307692,rare
15.70512821,rare
17.13286713,rare
21.30434783,rare
22.68518519,rare
18.56060606,rare
12.25,rare
17.13286713,rare
18.42105263,rare
17.25352113,rare
18.24137931,rare
13.48725212,rare
11.47228916,rare
21.54298643,rare
17.96603774,rare
12.97275204,rare
20.25957447,rare
12.36623377,rare
13.96187683,rare
18.96812749,rare
13.41126761,rare
18.96812749,rare
22.14418605,rare
22.77990431,rare
9.31702544,rare
14.04424779,rare
11.0979021,rare
9.514403292,rare
20.64285714,rare
16.16783217,rare
24.86021505,rare
12.10471204,rare
10.60550459,rare
21.60747664,rare
14.18404908,rare
22.55778894,rare
18.62655602,rare
20.68663594,rare
15.97508897,rare
17.743083,rare
10.41531323,rare
20.13004484,rare
18.47325103,rare
7.39538715,rare
20.13004484,rare
20.31221719,rare
11.25062657,rare
16.68773234,rare
24.53005464,rare
20.87906977,rare
20.13004484,rare
16.08960573,rare
10.36720554,rare
19.43290043,rare
16.81273408,rare
12.23160763,rare
22.11330049,rare
14.16088328,rare
5.576397516,rare
18.93913043,rare
14.14285714,rare
12.30508475,rare
13.12048193,rare
21.56435644,rare
18.45762712,rare
18.45762712,rare
20.35514019,rare
20.94230769,rare
14.14285714,rare
15.44680851,rare
18.61538462,rare
21.56435644,rare
13.44444444,rare
14.42384106,rare
14.0516129,rare
16.37593985,rare
19.10526316,rare
13.78481013,rare
12.9204893,rare
13.16199377,rare
20.02369668,rare
18.6123348,rare
12.68768769,rare
15.25270758,rare
1.905728462,rare
14.51890034,rare
11.83473389,rare
23.8700565,rare
10.66666667,rare
8.98245614,rare
9.941747573,rare
21.11340206,rare
19.88349515,rare
14.5248227,rare
22.02150538,rare
20.89795918,rare
16.384,rare
18.96296296,rare
22.26086957,rare
19.69230769,rare
15.28358209,rare
17.06666667,rare
19.5047619,rare
22.50549451,rare
